symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
AMBA,86.0,16.075048,9037920.0,1675611.0,3772663808.0,5.393805602851736,0.991869918699187,0.991869918699187,0.9105691056910568,0.8130081300813008,0.9577235772357724,0.8708314235825899,1.0287521297907558
AXTI,60.43,28.738821,29509839.0,9545616.0,3953522944.0,3.0914546531098672,0.997289972899729,0.962059620596206,0.9214092140921408,0.5474254742547425,0.9247967479674796,0.8282394790192599,1.0206890443720649
MPWR,1426.03,8.346121,1545412.0,921848.0,70060859392.0,1.676428218101032,0.951219512195122,0.8482384823848238,0.997289972899729,0.989159891598916,0.9281842818428184,0.8416198718234255,1.015519402157438
IESC,744.54,30.269098,485145.0,255422.0,14834130944.0,1.8993861139604264,1.0,0.8943089430894309,1.0,0.997289972899729,0.9627371273712736,0.9102276259823756,1.0102127230420541
DXCM,83.45,11.953308,11764839.0,5691222.0,32201099264.0,2.0671903151906568,0.975609756097561,0.913279132791328,0.8780487804878049,0.6612466124661247,0.9028455284552844,0.8285375729455747,0.9962656041519282
MSA,190.27,9.13106,721909.0,314280.0,7345200128.0,2.297024945908108,0.959349593495935,0.934959349593496,0.94579945799458,0.962059620596206,0.9483739837398374,0.9189903853936986,0.9901738829262112
ITGR,121.21,20.1765,2355408.0,497983.0,4115666176.0,4.729896402086015,0.994579945799458,0.981029810298103,0.964769647696477,0.9322493224932248,0.9776422764227642,0.9776422764227642,0.9888211382113821
ETN,415.2,7.31732,4430408.0,2598616.0,161222164480.0,1.7049106139575836,0.943089430894309,0.8563685636856369,0.983739837398374,0.902439024390244,0.91680216802168,0.8673646373128001,0.9868997848928839
SPSC,73.39,11.484121,1402471.0,655190.0,2694345216.0,2.1405561745447885,0.97289972899729,0.929539295392954,0.8563685636856369,0.8807588075880759,0.9252032520325202,0.8879665045815655,0.9835690539872632
LECO,261.31,4.4320984,709701.0,360903.0,14316420096.0,1.9664591316780409,0.8292682926829268,0.902439024390244,0.8997289972899729,0.967479674796748,0.8827913279132792,0.826063669274224,0.9757317936940095
CDNA,43.71,14.724411,2748247.0,904717.0,2258035712.0,3.037686923093078,0.986449864498645,0.959349593495935,0.8265582655826558,0.8048780487804879,0.9268292682926828,0.9160062015031804,0.9693223816985641
DLB,58.81,13.5767,1378051.0,935779.0,5563315200.0,1.4726244123879677,0.981029810298103,0.7913279132791328,0.8482384823848238,0.8373983739837398,0.8737127371273713,0.8219709007846758,0.9683306192295555
