ticker,market
KEEL,NASDAQ
EOSE,NASDAQ
EMAT,NASDAQ
PLBL,NASDAQ
FRMI,NASDAQ
OCUL,NASDAQ
MBLY,NASDAQ
BB,NYSE
RGC,NASDAQ
KD,NYSE
SVM,AMEX
GRND,NYSE
BHVN,NYSE
XNDU,NASDAQ
SLS,NASDAQ
RUN,NASDAQ
PAYP,NASDAQ
SAIL,NASDAQ
LION,NYSE
INFQ,NYSE
AAL,NASDAQ
BOBS,NYSE
TRVI,NASDAQ
HL,NYSE
WAY,NASDAQ
DYN,NASDAQ
ADPT,NASDAQ
ZETA,NYSE
CHYM,NASDAQ
PTRN,NASDAQ
CHRN,NASDAQ
AYA,NASDAQ
BBWI,NYSE
NAVN,NASDAQ
MAAS,NASDAQ
XE,NASDAQ
NRIX,NASDAQ
PAY,NYSE
DNLI,NASDAQ
HYMC,NASDAQ
ACAD,NASDAQ
BWIN,NASDAQ
QBTS,NYSE
RARE,NASDAQ
NESR,NASDAQ
CAAP,NYSE
FCEL,NASDAQ
SKE,NYSE
CARG,NASDAQ
LBRDA,NASDAQ
